"id","parent_id:id","name"
"of_naf_09_1","of_naf_09","[09.1] Activités de soutien à l'extraction d'hydrocarbures"
"of_naf_09_10","of_naf_09_1","[09.10] Activités de soutien à l'extraction d'hydrocarbures"
"of_naf_09_9","of_naf_09","[09.9] Activités de soutien aux autres industries extractives"
"of_naf_09_90","of_naf_09_9","[09.90] Activités de soutien aux autres industries extractives "
"of_naf_C","","[C] INDUSTRIE MANUFACTURIÈRE"
"of_naf_10","of_naf_C","[10] Industries alimentaires"
"of_naf_10_1","of_naf_10","[10.1] Transformation et conservation de la viande et préparation de produits à base de viande"
"of_naf_10_11","of_naf_10_1","[10.11] Transformation et conservation de la viande de boucherie"
"of_naf_10_12","of_naf_10_1","[10.12] Transformation et conservation de la viande de volaille"
"of_naf_10_13","of_naf_10_1","[10.13] Préparation de produits à base de viande"
"of_naf_10_2","of_naf_10","[10.2] Transformation et conservation de poisson, de crustacés et de mollusques"
"of_naf_10_20","of_naf_10_2","[10.20] Transformation et conservation de poisson, de crustacés et de mollusques"
"of_naf_10_3","of_naf_10","[10.3] Transformation et conservation de fruits et légumes"
"of_naf_10_31","of_naf_10_3","[10.31] Transformation et conservation de pommes de terre"
"of_naf_10_32","of_naf_10_3","[10.32] Préparation de jus de fruits et légumes"
"of_naf_10_39","of_naf_10_3","[10.39] Autre transformation et conservation de fruits et légumes"
"of_naf_10_4","of_naf_10","[10.4] Fabrication d’huiles et graisses végétales et animales"
"of_naf_10_41","of_naf_10_4","[10.41] Fabrication d'huiles et graisses"
"of_naf_10_42","of_naf_10_4","[10.42] Fabrication de margarine et graisses comestibles similaires"
"of_naf_10_5","of_naf_10","[10.5] Fabrication de produits laitiers"
"of_naf_10_51","of_naf_10_5","[10.51]  Exploitation de laiteries et fabrication de fromage"
"of_naf_10_52","of_naf_10_5","[10.52] Fabrication de glaces et sorbets"
"of_naf_10_6","of_naf_10","[10.6] Travail des grains; fabrication de produits amylacés"
"of_naf_10_61","of_naf_10_6","[10.61] Travail des grains"
"of_naf_10_62","of_naf_10_6","[10.62] Fabrication de produits amylacés"
"of_naf_10_7","of_naf_10","[10.7] Fabrication de produits de boulangerie pâtisserie et de pâtes alimentaires"
"of_naf_10_71","of_naf_10_7","[10.71] Fabrication de pain et de pâtisserie fraîche"
"of_naf_10_72","of_naf_10_7","[10.72] Fabrication de biscuits, biscottes et pâtisseries de conservation"
"of_naf_10_73","of_naf_10_7","[10.73] Fabrication de pâtes alimentaires"
"of_naf_10_8","of_naf_10","[10.8] Fabrication d'autres produits alimentaires"
"of_naf_10_81","of_naf_10_8","[10.81] Fabrication de sucre"
"of_naf_10_82","of_naf_10_8","[10.82] Fabrication de cacao, chocolat et de produits de confiserie"
"of_naf_10_83","of_naf_10_8","[10.83] Transformation du thé et du café"
"of_naf_10_84","of_naf_10_8","[10.84] Fabrication de condiments et assaisonnements"
"of_naf_10_85","of_naf_10_8","[10.85] Fabrication de plats préparés"
"of_naf_10_86","of_naf_10_8","[10.86] Fabrication d'aliments homogénéisés et diététiques"
"of_naf_10_89","of_naf_10_8","[10.89] Fabrication d'autres produits alimentaires n.c.a."
"of_naf_10_9","of_naf_10","[10.9] Fabrication d'aliments pour animaux"
"of_naf_10_91","of_naf_10_9","[10.91] Fabrication d'aliments pour animaux de ferme"
"of_naf_10_92","of_naf_10_9","[10.92] Fabrication d'aliments pour animaux de compagnie"
"of_naf_11","of_naf_C","[11] Fabrication de boissons"
"of_naf_11_0","of_naf_11","[11.0] Fabrication de boissons"
"of_naf_11_01","of_naf_11_0","[11.01] Production de boissons alcooliques distillées"
"of_naf_11_02","of_naf_11_0","[11.02] Production de vin (de raisin)"
"of_naf_11_03","of_naf_11_0","[11.03] Fabrication de cidre et de vins de fruits"
"of_naf_11_04","of_naf_11_0","[11.04] Production d'autres boissons fermentées non distillées "
"of_naf_11_05","of_naf_11_0","[11.05] Fabrication de bière"
"of_naf_11_06","of_naf_11_0","[11.06] Fabrication de malt"
"of_naf_11_07","of_naf_11_0","[11.07] Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes"
"of_naf_12","of_naf_C","[12] Fabrication de produits à base de tabac"
"of_naf_12_0","of_naf_12","[12.0] Fabrication de produits à base de tabac"
"of_naf_12_00","of_naf_12_0","[12.00] Fabrication de produits à base de tabac"
"of_naf_13","of_naf_C","[13] Fabrication de textiles"
"of_naf_13_1","of_naf_13","[13.1] Préparation de fibres textiles et filature"
"of_naf_13_10","of_naf_13_1","[13.10] Préparation de fibres textiles et filature"
"of_naf_13_2","of_naf_13","[13.2] Tissage"
"of_naf_13_20","of_naf_13_2","[13.20] Tissage"
"of_naf_13_3","of_naf_13","[13.3] Ennoblissement textile"
"of_naf_13_30","of_naf_13_3","[13.30] Ennoblissement textile"
"of_naf_13_9","of_naf_13","[13.9] Fabrication d'autres textiles"
"of_naf_13_91","of_naf_13_9","[13.91] Fabrication d'étoffes à mailles"
"of_naf_13_92","of_naf_13_9","[13.92] Fabrication d'articles textiles, sauf habillement"
"of_naf_13_93","of_naf_13_9","[13.93] Fabrication de tapis et moquettes"
"of_naf_13_94","of_naf_13_9","[13.94] Fabrication de ficelles, cordes et filets"
"of_naf_13_95","of_naf_13_9","[13.95] Fabrication de non-tissés, sauf habillement"
"of_naf_13_96","of_naf_13_9","[13.96] Fabrication d'autres textiles techniques et industriels"
"of_naf_13_99","of_naf_13_9","[13.99] Fabrication d'autres textiles n.c.a."
"of_naf_14","of_naf_C","[14] Industrie de l'habillement"
"of_naf_14_1","of_naf_14","[14.1] Fabrication de vêtements, autres qu'en fourrure"
"of_naf_14_11","of_naf_14_1","[14.11] Fabrication de vêtements en cuir"
"of_naf_14_12","of_naf_14_1","[14.12] Fabrication de vêtements de travail"
"of_naf_14_13","of_naf_14_1","[14.13] Fabrication de vêtements de dessus"
"of_naf_14_14","of_naf_14_1","[14.14] Fabrication de vêtements de dessous"
"of_naf_14_19","of_naf_14_1","[14.19] Fabrication d'autres vêtements et accessoires"
"of_naf_14_2","of_naf_14","[14.2] Fabrication d'articles en fourrure"
"of_naf_14_20","of_naf_14_2","[14.20] Fabrication d'articles en fourrure"
"of_naf_14_3","of_naf_14","[14.3] Fabrication d'articles à mailles"
"of_naf_14_31","of_naf_14_3","[14.31] Fabrication d'articles chaussants à mailles"
"of_naf_14_39","of_naf_14_3","[14.39] Fabrication d'autres articles à mailles"
"of_naf_15","of_naf_C","[15] Industrie du cuir et de la chaussure"
"of_naf_15_1","of_naf_15","[15.1] Apprêt et tannage des cuirs; préparation et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie"
"of_naf_15_11","of_naf_15_1","[15.11] Apprêt et tannage des cuirs; préparation et teinture des fourrures"
"of_naf_15_12","of_naf_15_1","[15.12] Fabrication d'articles de voyage, de maroquinerie et de sellerie"
"of_naf_15_2","of_naf_15","[15.2] Fabrication de chaussures"
"of_naf_15_20","of_naf_15_2","[15.20] Fabrication de chaussures"
"of_naf_16","of_naf_C","[16] Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie"
"of_naf_16_1","of_naf_16","[16.1] Sciage et rabotage du bois"
"of_naf_16_10","of_naf_16_1","[16.10] Sciage et rabotage du bois"
"of_naf_16_2","of_naf_16","[16.2] Fabrication d'articles en bois, liège, vannerie et sparterie"
"of_naf_16_21","of_naf_16_2","[16.21] Fabrication de placage et de panneaux de bois"
"of_naf_16_22","of_naf_16_2","[16.22] Fabrication de parquets assemblés"
"of_naf_16_23","of_naf_16_2","[16.23] Fabrication de charpentes et d'autres menuiseries"
"of_naf_16_24","of_naf_16_2","[16.24] Fabrication d'emballages en bois"
"of_naf_16_29","of_naf_16_2","[16.29] Fabrication d'objets divers en bois; fabrication d'objets en liège, vannerie et sparterie"
"of_naf_17","of_naf_C","[17] Industrie du papier et du carton"
"of_naf_17_1","of_naf_17","[17.1] Fabrication de pâte à papier, de papier et de carton"
"of_naf_17_11","of_naf_17_1","[17.11] Fabrication de pâte à papier"
"of_naf_17_12","of_naf_17_1","[17.12] Fabrication de papier et de carton"
"of_naf_17_2","of_naf_17","[17.2] Fabrication d'articles en papier ou en carton"
"of_naf_17_21","of_naf_17_2","[17.21] Fabrication de papier et carton ondulés et d'emballages en papier ou en carton"
"of_naf_17_22","of_naf_17_2","[17.22] Fabrication d'articles en papier à usage sanitaire ou domestique"
"of_naf_17_23","of_naf_17_2","[17.23] Fabrication d'articles de papeterie"
"of_naf_17_24","of_naf_17_2","[17.24] Fabrication de papiers peints"
"of_naf_17_29","of_naf_17_2","[17.29] Fabrication d'autres articles en papier ou en carton"
"of_naf_18","of_naf_C","[18] Imprimerie et reproduction d'enregistrements"
"of_naf_18_1","of_naf_18","[18.1] Imprimerie et services annexes"
"of_naf_18_11","of_naf_18_1","[18.11] Imprimerie de journaux"
"of_naf_18_12","of_naf_18_1","[18.12] Autre imprimerie (labeur)"
"of_naf_18_13","of_naf_18_1","[18.13] Activités de prépresse"
"of_naf_18_14","of_naf_18_1","[18.14] Reliure et activités connexes"
"of_naf_18_2","of_naf_18","[18.2] Reproduction d'enregistrements"
"of_naf_18_20","of_naf_18_2","[18.20] Reproduction d'enregistrements"
"of_naf_19","of_naf_C","[19] Cokéfaction et raffinage"
"of_naf_19_1","of_naf_19","[19.1] Cokéfaction"
"of_naf_19_10","of_naf_19_1","[19.10] Cokéfaction"
"of_naf_19_2","of_naf_19","[19.2] Raffinage du pétrole"
"of_naf_19_20","of_naf_19_2","[19.20] Raffinage du pétrole"
"of_naf_20","of_naf_C","[20] Industrie chimique"
"of_naf_20_1","of_naf_20","[20.1] Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique"
"of_naf_20_11","of_naf_20_1","[20.11] Fabrication de gaz industriels"
"of_naf_20_12","of_naf_20_1","[20.12] Fabrication de colorants et de pigments"
"of_naf_20_13","of_naf_20_1","[20.13] Fabrication d'autres produits chimiques inorganiques de base"
"of_naf_20_14","of_naf_20_1","[20.14] Fabrication d'autres produits chimiques organiques de base"
"of_naf_20_15","of_naf_20_1","[20.15] Fabrication de produits azotés et d'engrais"
"of_naf_20_16","of_naf_20_1","[20.16] Fabrication de matières plastiques de base"
"of_naf_20_17","of_naf_20_1","[20.17] Fabrication de caoutchouc synthétique"
"of_naf_20_2","of_naf_20","[20.2] Fabrication de pesticides et d'autres produits agrochimiques"
"of_naf_20_20","of_naf_20_2","[20.20] Fabrication de pesticides et d'autres produits agrochimiques"
"of_naf_20_3","of_naf_20","[20.3] Fabrication de peintures, vernis, encres et mastics"
"of_naf_20_30","of_naf_20_3","[20.30] Fabrication de peintures, vernis, encres et mastics"
"of_naf_20_4","of_naf_20","[20.4] Fabrication de savons, de produits d'entretien et de parfums"
"of_naf_20_41","of_naf_20_4","[20.41] Fabrication de savons, détergents et produits d'entretien"
"of_naf_20_42","of_naf_20_4","[20.42] Fabrication de parfums et de produits pour la toilette"
"of_naf_20_5","of_naf_20","[20.5] Fabrication d'autres produits chimiques"
"of_naf_20_51","of_naf_20_5","[20.51] Fabrication de produits explosifs"
"of_naf_20_52","of_naf_20_5","[20.52] Fabrication de colles"
"of_naf_20_53","of_naf_20_5","[20.53] Fabrication d'huiles essentielles"
"of_naf_20_59","of_naf_20_5","[20.59] Fabrication d'autres produits chimiques n.c.a."
"of_naf_20_6","of_naf_20","[20.6] Fabrication de fibres artificielles ou synthétiques"
"of_naf_20_60","of_naf_20_6","[20.60] Fabrication de fibres artificielles ou synthétiques"
"of_naf_21","of_naf_C","[21] Industrie pharmaceutique"
"of_naf_21_1","of_naf_21","[21.1] Fabrication de produits pharmaceutiques de base"
"of_naf_21_10","of_naf_21_1","[21.10] Fabrication de produits pharmaceutiques de base"
"of_naf_21_2","of_naf_21","[21.2] Fabrication de préparations pharmaceutiques"
"of_naf_21_20","of_naf_21_2","[21.20] Fabrication de préparations pharmaceutiques"
"of_naf_22","of_naf_C","[22] Fabrication de produits en caoutchouc et en plastique"
"of_naf_22_1","of_naf_22","[22.1] Fabrication de produits en caoutchouc"
"of_naf_22_11","of_naf_22_1","[22.11] Fabrication et rechapage de pneumatiques"
"of_naf_22_19","of_naf_22_1","[22.19] Fabrication d'autres articles en caoutchouc"
"of_naf_22_2","of_naf_22","[22.2] Fabrication de produits en plastique"
"of_naf_22_21","of_naf_22_2","[22.21] Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
"of_naf_22_22","of_naf_22_2","[22.22] Fabrication d'emballages en matières plastiques"
"of_naf_22_23","of_naf_22_2","[22.23] Fabrication d'éléments en matières plastiques pour la construction"
